payment_id,expected_status,expected_exception_type,scenario,notes
P001,MATCHED,,MATCH,
P002,MATCHED,,MATCH,
P003,EXCEPTION,DATE_MISMATCH,DATE_MISMATCH,bank settlement delayed by 5 days
P004,MATCHED,,MATCH,
P005,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by -192
P006,MATCHED,,MATCH,
P007,MATCHED,,MATCH,
P008,EXCEPTION,BANK_RECORD_MISSING,BANK_MISSING,no matching bank transaction found
P009,MATCHED,,MATCH,
P010,EXCEPTION,LEDGER_RECORD_MISSING,LEDGER_MISSING,no matching ledger entry found
P011,EXCEPTION,BANK_RECORD_MISSING,BANK_MISSING,no matching bank transaction found
P012,MATCHED,,MATCH,
P013,MATCHED,,MATCH,
P014,MATCHED,,MATCH,
P015,EXCEPTION,BANK_RECORD_MISSING,BANK_MISSING,no matching bank transaction found
P016,MATCHED,,MATCH,
P017,MATCHED,,MATCH,
P018,EXCEPTION,DATE_MISMATCH,DATE_MISMATCH,bank settlement delayed by 2 days
P019,EXCEPTION,BANK_RECORD_MISSING,BANK_MISSING,no matching bank transaction found
P020,MATCHED,,MATCH,
P021,MATCHED,,MATCH,
P022,MATCHED,,MATCH,
P023,MATCHED,,MATCH,
P024,EXCEPTION,AMBIGUOUS,AMBIGUOUS,"small multi-field drift, needs human/AI judgement"
P025,EXCEPTION,LEDGER_RECORD_MISSING,LEDGER_MISSING,no matching ledger entry found
P026,MATCHED,,MATCH,
P027,EXCEPTION,LEDGER_RECORD_MISSING,LEDGER_MISSING,no matching ledger entry found
P028,MATCHED,,MATCH,
P029,EXCEPTION,POSSIBLE_DUPLICATE,DUPLICATE,two bank transactions found for one payment
P030,MATCHED,,MATCH,
P031,MATCHED,,MATCH,
P032,MATCHED,,MATCH,
P033,MATCHED,,MATCH,
P034,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by -500
P035,EXCEPTION,BANK_RECORD_MISSING,BANK_MISSING,no matching bank transaction found
P036,MATCHED,,MATCH,
P037,EXCEPTION,AMBIGUOUS,AMBIGUOUS,"small multi-field drift, needs human/AI judgement"
P038,MATCHED,,MATCH,
P039,EXCEPTION,POSSIBLE_DUPLICATE,DUPLICATE,two bank transactions found for one payment
P040,MATCHED,,MATCH,
P041,MATCHED,,MATCH,
P042,MATCHED,,MATCH,
P043,MATCHED,,MATCH,
P044,MATCHED,,MATCH,
P045,MATCHED,,MATCH,
P046,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by 750
P047,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by 500
P048,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by 750
P049,MATCHED,,MATCH,
P050,MATCHED,,MATCH,
P051,EXCEPTION,AMBIGUOUS,AMBIGUOUS,"small multi-field drift, needs human/AI judgement"
P052,MATCHED,,MATCH,
P053,MATCHED,,MATCH,
P054,MATCHED,,MATCH,
P055,MATCHED,,MATCH,
P056,MATCHED,,MATCH,
P057,MATCHED,,MATCH,
P058,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by -100
P059,MATCHED,,MATCH,
P060,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by -100
P061,MATCHED,,MATCH,
P062,MATCHED,,MATCH,
P063,MATCHED,,MATCH,
P064,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by -500
P065,EXCEPTION,LEDGER_RECORD_MISSING,LEDGER_MISSING,no matching ledger entry found
P066,MATCHED,,MATCH,
P067,EXCEPTION,LEDGER_RECORD_MISSING,LEDGER_MISSING,no matching ledger entry found
P068,MATCHED,,MATCH,
P069,EXCEPTION,DATE_MISMATCH,DATE_MISMATCH,bank settlement delayed by 4 days
P070,MATCHED,,MATCH,
P071,MATCHED,,MATCH,
P072,EXCEPTION,AMBIGUOUS,AMBIGUOUS,"small multi-field drift, needs human/AI judgement"
P073,MATCHED,,MATCH,
P074,EXCEPTION,DATE_MISMATCH,DATE_MISMATCH,bank settlement delayed by 3 days
P075,MATCHED,,MATCH,
P076,EXCEPTION,POSSIBLE_DUPLICATE,DUPLICATE,two bank transactions found for one payment
P077,MATCHED,,MATCH,
P078,EXCEPTION,BANK_RECORD_MISSING,BANK_MISSING,no matching bank transaction found
P079,EXCEPTION,LEDGER_RECORD_MISSING,LEDGER_MISSING,no matching ledger entry found
P080,EXCEPTION,BANK_RECORD_MISSING,BANK_MISSING,no matching bank transaction found
P081,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by -250
P082,MATCHED,,MATCH,
P083,MATCHED,,MATCH,
P084,EXCEPTION,POSSIBLE_DUPLICATE,DUPLICATE,two bank transactions found for one payment
P085,EXCEPTION,AMBIGUOUS,AMBIGUOUS,"small multi-field drift, needs human/AI judgement"
P086,MATCHED,,MATCH,
P087,MATCHED,,MATCH,
P088,EXCEPTION,BANK_RECORD_MISSING,BANK_MISSING,no matching bank transaction found
P089,MATCHED,,MATCH,
P090,EXCEPTION,AMOUNT_MISMATCH,AMOUNT_MISMATCH,bank amount off by 500
P091,EXCEPTION,POSSIBLE_DUPLICATE,DUPLICATE,two bank transactions found for one payment
P092,MATCHED,,MATCH,
P093,MATCHED,,MATCH,
P094,MATCHED,,MATCH,
P095,MATCHED,,MATCH,
P096,MATCHED,,MATCH,
P097,EXCEPTION,DATE_MISMATCH,DATE_MISMATCH,bank settlement delayed by 4 days
P098,MATCHED,,MATCH,
P099,MATCHED,,MATCH,
P100,EXCEPTION,LEDGER_RECORD_MISSING,LEDGER_MISSING,no matching ledger entry found
